# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
    9.76976977    0.39305511
    9.81981982    0.39554795
    9.86986987    0.39701296
    9.91991992    0.39739438
    9.96996997    0.39667528
   10.02002002    0.39487789
   10.07007007    0.39206009
   10.12012012    0.38830894
   10.17017017    0.38373223
   10.22022022    0.37844905
   10.27027027    0.37258037
   10.32032032    0.36624024
   10.37037037    0.35952828
   10.42042042    0.35252398
   10.47047047    0.34528338
   10.52052052    0.33783869
   10.57057057    0.33020085
   10.62062062    0.32236506
   10.67067067    0.31431807
   10.72072072    0.30604621
   10.77077077    0.29754263
   10.82082082    0.28881243
   10.87087087    0.27987521
   10.92092092    0.27076494
   10.97097097    0.26152780
   11.02102102    0.25221901
   11.07107107    0.24289940
   11.12112112    0.23363232
   11.17117117    0.22448099
   11.22122122    0.21550640
   11.27127127    0.20676528
   11.32132132    0.19830830
   11.37137137    0.19017835
   11.42142142    0.18240909
   11.47147147    0.17502384
   11.52152152    0.16803502
   11.57157157    0.16144420
   11.62162162    0.15524264
   11.67167167    0.14941249
   11.72172172    0.14392836
   11.77177177    0.13875941
   11.82182182    0.13387172
   11.87187187    0.12923083
   11.92192192    0.12480430
   11.97197197    0.12056383
   12.02202202    0.11648699
   12.07207207    0.11255804
   12.12212212    0.10876802
   12.17217217    0.10511399
   12.22222222    0.10159778
   12.27227227    0.09822445
   12.32232232    0.09500069
   12.37237237    0.09193346
   12.42242242    0.08902904
   12.47247247    0.08629231
   12.52252252    0.08372652
   12.57257257    0.08133321
   12.62262262    0.07911238
   12.67267267    0.07706275
   12.72272272    0.07518211
   12.77277277    0.07346758
   12.82282282    0.07191595
   12.87287287    0.07052388
   12.92292292    0.06928815
   12.97297297    0.06820582
   13.02302302    0.06727431
   13.07307307    0.06649151
   13.12312312    0.06585583
   13.17317317    0.06536615
   13.22322322    0.06502186
   13.27327327    0.06482274
   13.32332332    0.06476885
   13.37337337    0.06486041
   13.42342342    0.06509749
   13.47347347    0.06547981
   13.52352352    0.06600628
   13.57357357    0.06667458
   13.62362362    0.06748062
   13.67367367    0.06841782
