# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
    7.06706707    0.10084617
    7.11711712    0.10443265
    7.16716717    0.10819231
    7.21721722    0.11216231
    7.26726727    0.11637944
    7.31731732    0.12087798
    7.36736737    0.12568790
    7.41741742    0.13083319
    7.46746747    0.13633048
    7.51751752    0.14218781
    7.56756757    0.14840342
    7.61761762    0.15496486
    7.66766767    0.16184814
    7.71771772    0.16901743
    7.76776777    0.17642521
    7.81781782    0.18401325
    7.86786787    0.19171461
    7.91791792    0.19945653
    7.96796797    0.20716440
    8.01801802    0.21476621
    8.06806807    0.22219740
    8.11811812    0.22940520
    8.16816817    0.23635228
    8.21821822    0.24301896
    8.26826827    0.24940384
    8.31831832    0.25552278
    8.36836837    0.26140632
    8.41841842    0.26709607
    8.46846847    0.27264036
    8.51851852    0.27808970
    8.56856857    0.28349236
    8.61861862    0.28889016
    8.66866867    0.29431465
    8.71871872    0.29978373
    8.76876877    0.30529889
    8.81881882    0.31084312
    8.86886887    0.31637977
    8.91891892    0.32185233
    8.96896897    0.32718526
    9.01901902    0.33228597
    9.06906907    0.33704815
    9.11911912    0.34135647
    9.16916917    0.34509279
    9.21921922    0.34814362
    9.26926927    0.35040820
    9.31931932    0.35180626
    9.36936937    0.35228435
    9.41941942    0.35181968
    9.46946947    0.35042080
    9.51951952    0.34812503
    9.56956957    0.34499327
    9.61961962    0.34110301
    9.66966967    0.33654067
    9.71971972    0.33139430
    9.76976977    0.32574726
    9.81981982    0.31967340
    9.86986987    0.31323397
    9.91991992    0.30647650
    9.96996997    0.29943566
   10.02002002    0.29213591
   10.07007007    0.28459565
   10.12012012    0.27683198
   10.17017017    0.26886522
   10.22022022    0.26072222
   10.27027027    0.25243779
   10.32032032    0.24405418
   10.37037037    0.23561876
   10.42042042    0.22718101
   10.47047047    0.21878935
   10.52052052    0.21048879
   10.57057057    0.20231978
   10.62062062    0.19431807
   10.67067067    0.18651541
   10.72072072    0.17894039
   10.77077077    0.17161911
   10.82082082    0.16457523
   10.87087087    0.15782955
   10.92092092    0.15139906
   10.97097097    0.14529592
   11.02102102    0.13952649
   11.07107107    0.13409066
   11.12112112    0.12898158
   11.17117117    0.12418585
   11.22122122    0.11968416
   11.27127127    0.11545234
   11.32132132    0.11146276
   11.37137137    0.10768610
   11.42142142    0.10409320
   11.47147147    0.10065705
   11.52152152    0.09735444
   11.57157157    0.09416726
   11.62162162    0.09108318
   11.67167167    0.08809565
   11.72172172    0.08520325
   11.77177177    0.08240863
   11.82182182    0.07971716
   11.87187187    0.07713560
   11.92192192    0.07467094
   11.97197197    0.07232954
   12.02202202    0.07011655
   12.07207207    0.06803562
   12.12212212    0.06608893
   12.17217217    0.06427725
   12.22222222    0.06260020
   12.27227227    0.06105650
   12.32232232    0.05964424
   12.37237237    0.05836116
   12.42242242    0.05720482
   12.47247247    0.05617281
   12.52252252    0.05526290
   12.57257257    0.05447312
   12.62262262    0.05380186
   12.67267267    0.05324793
   12.72272272    0.05281051
   12.77277277    0.05248923
   12.82282282    0.05228405
   12.87287287    0.05219524
   12.92292292    0.05222325
   12.97297297    0.05236854
   13.02302302    0.05263142
   13.07307307    0.05301174
   13.12312312    0.05350854
   13.17317317    0.05411966
   13.22322322    0.05484124
   13.27327327    0.05566712
