# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
   12.87287287    0.04489534
   12.92292292    0.04563196
   12.97297297    0.04643876
   13.02302302    0.04730283
   13.07307307    0.04820751
   13.12312312    0.04913219
   13.17317317    0.05005239
   13.22322322    0.05094026
   13.27327327    0.05176556
   13.32332332    0.05249708
   13.37337337    0.05310446
   13.42342342    0.05356029
   13.47347347    0.05384213
   13.52352352    0.05393431
   13.57357357    0.05382921
   13.62362362    0.05352783
   13.67367367    0.05303971
   13.72372372    0.05238203
   13.77377377    0.05157822
   13.82382382    0.05065611
   13.87387387    0.04964598
   13.92392392    0.04857857
   13.97397397    0.04748338
   14.02402402    0.04638735
   14.07407407    0.04531384
   14.12412412    0.04428217
   14.17417417    0.04330734
   14.22422422    0.04240019
   14.27427427    0.04156759
   14.32432432    0.04081290
   14.37437437    0.04013636
   14.42442442    0.03953562
   14.47447447    0.03900636
   14.52452452    0.03854278
   14.57457457    0.03813836
   14.62462462    0.03778647
   14.67467467    0.03748102
   14.72472472    0.03721710
   14.77477477    0.03699134
   14.82482482    0.03680217
   14.87487487    0.03664971
   14.92492492    0.03653554
   14.97497497    0.03646215
   15.02502503    0.03643237
   15.07507508    0.03644872
   15.12512513    0.03651283
   15.17517518    0.03662494
   15.22522523    0.03678363
   15.27527528    0.03698565
   15.32532533    0.03722597
   15.37537538    0.03749800
   15.42542543    0.03779396
   15.47547548    0.03810537
   15.52552553    0.03842354
   15.57557558    0.03874012
   15.62562563    0.03904746
   15.67567568    0.03933897
   15.72572573    0.03960921
   15.77577578    0.03985397
   15.82582583    0.04007022
   15.87587588    0.04025608
   15.92592593    0.04041079
   15.97597598    0.04053466
   16.02602603    0.04062911
   16.07607608    0.04069668
   16.12612613    0.04074098
   16.17617618    0.04076657
   16.22622623    0.04077876
   16.27627628    0.04078331
   16.32632633    0.04078600
   16.37637638    0.04079229
   16.42642643    0.04080692
   16.47647648    0.04083367
   16.52652653    0.04087536
   16.57657658    0.04093392
   16.62662663    0.04101076
   16.67667668    0.04110714
   16.72672673    0.04122461
   16.77677678    0.04136539
   16.82682683    0.04153252
   16.87687688    0.04172995
   16.92692693    0.04196232
   16.97697698    0.04223462
   17.02702703    0.04255177
   17.07707708    0.04291815
   17.12712713    0.04333722
   17.17717718    0.04381113
   17.22722723    0.04434056
   17.27727728    0.04492452
   17.32732733    0.04556028
   17.37737738    0.04624331
   17.42742743    0.04696728
   17.47747748    0.04772415
   17.52752753    0.04850435
   17.57757758    0.04929723
   17.62762763    0.05009167
   17.67767768    0.05087684
   17.72772773    0.05164318
   17.77777778    0.05238316
   17.82782783    0.05309198
   17.87787788    0.05376782
   17.92792793    0.05441168
   17.97797798    0.05502679
   18.02802803    0.05561770
   18.07807808    0.05618934
   18.12812813    0.05674610
   18.17817818    0.05729144
   18.22822823    0.05782787
   18.27827828    0.05835750
   18.32832833    0.05888296
   18.37837838    0.05940847
   18.42842843    0.05994080
   18.47847848    0.06048981
   18.52852853    0.06106855
   18.57857858    0.06169275
   18.62862863    0.06237980
   18.67867868    0.06314752
   18.72872873    0.06401268
   18.77877878    0.06498966
   18.82882883    0.06608917
   18.87887888    0.06731714
   18.92892893    0.06867387
   18.97897898    0.07015339
   19.02902903    0.07174300
   19.07907908    0.07342321
   19.12912913    0.07516782
   19.17917918    0.07694449
   19.22922923    0.07871548
   19.27927928    0.08043873
   19.32932933    0.08206921
   19.37937938    0.08356045
   19.42942943    0.08486632
   19.47947948    0.08594308
   19.52952953    0.08675160
   19.57957958    0.08725986
   19.62962963    0.08744531
   19.67967968    0.08729702
   19.72972973    0.08681713
   19.77977978    0.08602143
   19.82982983    0.08493879
   19.87987988    0.08360944
   19.92992993    0.08208234
   19.97997998    0.08041195
   20.03003003    0.07865477
   20.08008008    0.07686619
   20.13013013    0.07509774
   20.18018018    0.07339517
   20.23023023    0.07179727
   20.28028028    0.07033524
   20.33033033    0.06903269
   20.38038038    0.06790595
   20.43043043    0.06696451
   20.48048048    0.06621156
   20.53053053    0.06564443
   20.58058058    0.06525509
   20.63063063    0.06503038
   20.68068068    0.06495240
   20.73073073    0.06499875
   20.78078078    0.06514300
   20.83083083    0.06535526
   20.88088088    0.06560300
   20.93093093    0.06585224
   20.98098098    0.06606896
   21.03103103    0.06622095
   21.08108108    0.06627963
   21.13113113    0.06622197
   21.18118118    0.06603208
   21.23123123    0.06570225
   21.28128128    0.06523313
   21.33133133    0.06463318
   21.38138138    0.06391719
   21.43143143    0.06310419
   21.48148148    0.06221516
   21.53153153    0.06127071
   21.58158158    0.06028935
   21.63163163    0.05928625
   21.68168168    0.05827295
   21.73173173    0.05725761
   21.78178178    0.05624596
   21.83183183    0.05524249
   21.88188188    0.05425170
   21.93193193    0.05327907
   21.98198198    0.05233166
   22.03203203    0.05141824
   22.08208208    0.05054893
   22.13213213    0.04973456
   22.18218218    0.04898588
   22.23223223    0.04831278
   22.28228228    0.04772364
   22.33233233    0.04722484
   22.38238238    0.04682053
   22.43243243    0.04651246
   22.48248248    0.04630010
   22.53253253    0.04618071
   22.58258258    0.04614956
   22.63263263    0.04620017
   22.68268268    0.04632459
   22.73273273    0.04651363
   22.78278278    0.04675721
   22.83283283    0.04704462
   22.88288288    0.04736481
   22.93293293    0.04770667
   22.98298298    0.04805928
   23.03303303    0.04841226
   23.08308308    0.04875608
   23.13313313    0.04908248
   23.18318318    0.04938494
   23.23323323    0.04965915
   23.28328328    0.04990349
   23.33333333    0.05011939
   23.38338338    0.05031157
   23.43343343    0.05048803
   23.48348348    0.05065976
   23.53353353    0.05084020
   23.58358358    0.05104450
   23.63363363    0.05128853
   23.68368368    0.05158797
   23.73373373    0.05195736
   23.78378378    0.05240922
   23.83383383    0.05295348
   23.88388388    0.05359686
   23.93393393    0.05434266
   23.98398398    0.05519052
   24.03403403    0.05613643
   24.08408408    0.05717289
   24.13413413    0.05828916
   24.18418418    0.05947162
   24.23423423    0.06070422
   24.28428428    0.06196897
   24.33433433    0.06324644
   24.38438438    0.06451632
   24.43443443    0.06575809
   24.48448448    0.06695177
   24.53453453    0.06807891
   24.58458458    0.06912368
   24.63463463    0.07007404
   24.68468468    0.07092272
   24.73473473    0.07166781
   24.78478478    0.07231291
   24.83483483    0.07286662
   24.88488488    0.07334154
   24.93493493    0.07375310
   24.98498498    0.07411820
   25.03503504    0.07445406
   25.08508509    0.07477728
   25.13513514    0.07510307
   25.18518519    0.07544454
   25.23523524    0.07581193
   25.28528529    0.07621170
   25.33533534    0.07664549
   25.38538539    0.07710902
