# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   3
# Energy (eV)   sigma
   29.38938939    0.01486396
   29.43943944    0.01496619
   29.48948949    0.01505982
   29.53953954    0.01514268
   29.58958959    0.01521297
   29.63963964    0.01526942
   29.68968969    0.01531125
   29.73973974    0.01533820
   29.78978979    0.01535044
   29.83983984    0.01534852
   29.88988989    0.01533333
   29.93993994    0.01530602
   29.98998999    0.01526800
   30.04004004    0.01522096
   30.09009009    0.01516683
   30.14014014    0.01510778
   30.19019019    0.01504619
   30.24024024    0.01498459
   30.29029029    0.01492558
   30.34034034    0.01487174
   30.39039039    0.01482551
   30.44044044    0.01478906
   30.49049049    0.01476415
   30.54054054    0.01475207
   30.59059059    0.01475350
   30.64064064    0.01476847
   30.69069069    0.01479633
   30.74074074    0.01483575
   30.79079079    0.01488477
   30.84084084    0.01494087
   30.89089089    0.01500111
   30.94094094    0.01506234
   30.99099099    0.01512141
   31.04104104    0.01517549
   31.09109109    0.01522229
   31.14114114    0.01526036
   31.19119119    0.01528917
   31.24124124    0.01530923
   31.29129129    0.01532197
   31.34134134    0.01532959
   31.39139139    0.01533483
   31.44144144    0.01534070
   31.49149149    0.01535025
   31.54154154    0.01536635
   31.59159159    0.01539157
   31.64164164    0.01542804
   31.69169169    0.01547747
   31.74174174    0.01554100
   31.79179179    0.01561923
   31.84184184    0.01571216
   31.89189189    0.01581916
   31.94194194    0.01593900
   31.99199199    0.01606982
   32.04204204    0.01620926
   32.09209209    0.01635459
   32.14214214    0.01650284
   32.19219219    0.01665109
   32.24224224    0.01679667
   32.29229229    0.01693747
   32.34234234    0.01707219
   32.39239239    0.01720051
   32.44244244    0.01732327
   32.49249249    0.01744241
   32.54254254    0.01756088
   32.59259259    0.01768244
   32.64264264    0.01781131
   32.69269269    0.01795190
   32.74274274    0.01810843
   32.79279279    0.01828468
   32.84284284    0.01848378
   32.89289289    0.01870798
   32.94294294    0.01895860
   32.99299299    0.01923587
   33.04304304    0.01953894
   33.09309309    0.01986581
   33.14314314    0.02021341
   33.19319319    0.02057761
   33.24324324    0.02095338
   33.29329329    0.02133497
   33.34334334    0.02171611
   33.39339339    0.02209028
   33.44344344    0.02245094
   33.49349349    0.02279184
   33.54354354    0.02310722
   33.59359359    0.02339206
   33.64364364    0.02364231
   33.69369369    0.02385507
   33.74374374    0.02402879
   33.79379379    0.02416339
   33.84384384    0.02426026
   33.89389389    0.02432231
   33.94394394    0.02435373
   33.99399399    0.02435985
   34.04404404    0.02434686
   34.09409409    0.02432151
   34.14414414    0.02429084
   34.19419419    0.02426198
   34.24424424    0.02424192
   34.29429429    0.02423737
   34.34434434    0.02425455
   34.39439439    0.02429909
   34.44444444    0.02437581
   34.49449449    0.02448857
   34.54454454    0.02464008
   34.59459459    0.02483178
   34.64464464    0.02506368
   34.69469469    0.02533435
   34.74474474    0.02564082
   34.79479479    0.02597874
   34.84484484    0.02634245
   34.89489489    0.02672524
   34.94494494    0.02711972
   34.99499499    0.02751818
   35.04504505    0.02791307
   35.09509510    0.02829748
   35.14514515    0.02866556
   35.19519520    0.02901282
   35.24524525    0.02933631
   35.29529530    0.02963465
   35.34534535    0.02990781
   35.39539540    0.03015684
   35.44544545    0.03038344
   35.49549550    0.03058955
   35.54554555    0.03077690
   35.59559560    0.03094673
   35.64564565    0.03109956
   35.69569570    0.03123511
   35.74574575    0.03135239
   35.79579580    0.03144982
   35.84584585    0.03152546
   35.89589590    0.03157722
   35.94594595    0.03160297
   35.99599600    0.03160068
   36.04604605    0.03156835
   36.09609610    0.03150398
   36.14614615    0.03140545
   36.19619620    0.03127053
   36.24624625    0.03109689
   36.29629630    0.03088228
   36.34634635    0.03062477
   36.39639640    0.03032311
   36.44644645    0.02997706
   36.49649650    0.02958768
   36.54654655    0.02915751
   36.59659660    0.02869064
   36.64664665    0.02819253
   36.69669670    0.02766980
   36.74674675    0.02712978
   36.79679680    0.02658007
   36.84684685    0.02602814
   36.89689690    0.02548081
   36.94694695    0.02494403
   36.99699700    0.02442261
   37.04704705    0.02392011
   37.09709710    0.02343887
   37.14714715    0.02298006
   37.19719720    0.02254390
   37.24724725    0.02212980
   37.29729730    0.02173664
   37.34734735    0.02136298
   37.39739740    0.02100727
   37.44744745    0.02066804
   37.49749750    0.02034404
   37.54754755    0.02003429
   37.59759760    0.01973814
   37.64764765    0.01945521
   37.69769770    0.01918534
   37.74774775    0.01892845
   37.79779780    0.01868445
   37.84784785    0.01845314
   37.89789790    0.01823409
   37.94794795    0.01802663
   37.99799800    0.01782985
   38.04804805    0.01764265
   38.09809810    0.01746388
   38.14814815    0.01729242
   38.19819820    0.01712739
   38.24824825    0.01696821
   38.29829830    0.01681471
   38.34834835    0.01666713
   38.39839840    0.01652610
   38.44844845    0.01639249
   38.49849850    0.01626739
   38.54854855    0.01615185
   38.59859860    0.01604687
   38.64864865    0.01595322
   38.69869870    0.01587142
   38.74874875    0.01580163
   38.79879880    0.01574368
   38.84884885    0.01569703
   38.89889890    0.01566082
   38.94894895    0.01563390
   38.99899900    0.01561484
   39.04904905    0.01560210
   39.09909910    0.01559405
   39.14914915    0.01558910
   39.19919920    0.01558585
   39.24924925    0.01558320
   39.29929930    0.01558042
   39.34934935    0.01557724
   39.39939940    0.01557390
   39.44944945    0.01557111
   39.49949950    0.01556995
   39.54954955    0.01557185
   39.59959960    0.01557840
   39.64964965    0.01559119
   39.69969970    0.01561175
   39.74974975    0.01564136
   39.79979980    0.01568095
   39.84984985    0.01573107
   39.89989990    0.01579180
   39.94994995    0.01586274
   40.00000000    0.01594306
